time,0#0,0#1,0#2,0#3,0#4,1#0,1#1,1#2,1#3,1#4,2#0,2#1,2#2,2#3,2#4,3#0,3#1,3#2,3#3,3#4,4#0,4#1,4#2,4#3,4#4,myVelocity,myHeading,myX,myY,mySection,averageEnemyDistance,gotHit
186,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-8.0,146.76631776204897,127.71397388066508,354.44523883463097,0#2,343.4431697937119,1
186,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-8.0,146.76631776204897,127.71397388066508,354.44523883463097,0#2,343.4431697937119,1
268,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,160.75,122.8330294681925,146.12701420620223,0#1,470.5660840795003,1
299,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,8.0,91.93916229670714,258.398368824122,126.52344333779378,1#1,366.7623935016439,1
322,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,6.419546481518148,91.93916229670714,384.7455174291013,122.24562006141431,2#1,387.6936924504751,0
348,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.6319693105872597,22.26190010097698,435.0,177.0,2#1,358.52194536898696,1
375,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.7804331947158403,293.0,479.0526473851096,143.66098470522877,2#1,462.8152649372488,0
401,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,319.77640736488223,470.8238579060568,168.3159290925444,2#1,407.56157690413374,1
416,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-3.3667368406843456,300.27972415929423,478.3190247756295,164.1928394783351,2#1,344.8007049684354,1
440,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-8.0,279.3630970751589,611.5450391912386,140.47359149276963,3#1,343.42892270977256,0
464,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8.0,281.52963329556434,633.7629415018803,138.32780087099854,3#1,341.73073812106406,1
488,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,8.0,281.52963329556434,472.0924004778798,171.30713023056947,2#1,235.2482935214998,0
512,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8.0,281.5296332955644,338.8366818156735,198.4900926117916,2#1,142.16602142803208,0
535,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5.0,281.30993247402023,238.29128986463616,218.9417420270728,1#1,180.3319611540452,0
575,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,-2.0,246.5073405688915,241.73636955861664,263.5500858619818,1#2,136.25906620877947,1
